Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-02-01,18.797,19.172,18.14,18.216,1343780
2000-02-02,18.286,18.431,18.063,18.363,1524224
2000-02-03,18.506,19.172,18.506,19.019,1752137
2000-02-04,19.241,19.462,18.652,18.797,1348672
2000-02-07,18.729,18.874,18.431,18.583,1165201
2000-02-08,18.583,18.583,18.216,18.363,1677834
2000-02-09,18.506,18.583,17.919,17.995,2908830
2000-02-10,17.919,17.995,17.627,17.85,1335359
2000-02-11,17.627,17.627,16.964,17.108,3224915
2000-02-14,16.742,17.772,16.742,17.627,2418600
2000-02-15,18.363,18.363,17.697,17.772,2431023
2000-02-16,17.995,17.995,17.108,17.33,1682634
2000-02-17,17.33,17.995,17.108,17.995,1568188
2000-02-18,17.85,18.431,17.85,18.14,2853990
2000-02-21,17.26,17.85,17.26,17.772,1029386
2000-02-22,17.772,18.216,17.407,17.407,1089091
2000-02-23,17.475,17.697,16.964,17.26,1650722
2000-02-24,17.108,17.407,16.742,16.895,1895384
2000-02-25,16.895,16.895,16.452,16.673,1148350
2000-02-28,16.086,16.673,15.94,16.375,1834933
2000-02-29,16.673,16.673,16.307,16.452,813281
2000-03-01,16.52,16.673,16.307,16.52,1223966
2000-03-02,16.52,17.184,16.52,17.04,1327274
2000-03-03,17.108,17.407,17.04,17.407,969751
2000-03-06,17.627,17.772,17.184,17.26,901776
2000-03-07,17.26,17.26,16.895,17.108,760541
2000-03-08,16.52,16.964,16.52,16.818,887475
2000-03-09,17.04,17.04,16.52,16.52,774111
2000-03-10,17.184,17.184,16.673,16.742,779033
2000-03-13,16.673,16.818,16.086,16.307,1495111
2000-03-14,16.52,17.04,16.307,17.04,3200156
2000-03-15,16.742,16.818,16.452,16.52,1086806
2000-03-16,17.108,17.108,16.673,16.895,1444023
2000-03-17,17.26,17.26,17.04,17.108,1936434
2000-03-20,17.108,17.108,16.895,16.964,770064
2000-03-21,16.895,17.04,16.673,16.818,603163
2000-03-22,17.26,17.85,17.26,17.627,2165895
2000-03-23,17.627,17.919,17.627,17.772,1802268
2000-03-24,17.919,17.995,17.697,17.85,1667051
2000-03-27,17.85,17.85,17.475,17.475,708387
2000-03-28,17.627,17.627,17.407,17.627,1130245
2000-03-29,17.627,17.627,17.33,17.475,961695
2000-03-30,17.55,17.55,16.964,17.108,517217
2000-03-31,16.895,17.108,16.895,17.108,557313
2000-04-03,17.184,17.184,16.597,16.597,567655
2000-04-04,16.597,16.673,16.375,16.52,953132
2000-04-05,16.597,16.597,16.086,16.307,1151278
2000-04-06,16.375,16.597,16.307,16.52,622777
2000-04-07,16.673,16.673,16.229,16.52,775501
2000-04-10,16.742,16.964,16.742,16.964,713251
2000-04-11,16.895,16.895,16.673,16.818,507602
2000-04-12,16.964,17.26,16.818,17.184,722949
2000-04-13,17.04,17.26,17.04,17.184,544660
2000-04-14,17.26,17.33,17.04,17.108,739218
2000-04-17,16.086,16.375,15.863,16.229,1405538
2000-04-18,16.673,16.673,16.154,16.307,781304
2000-04-19,16.597,16.597,16.154,16.154,1007455
2000-04-20,16.154,16.452,16.154,16.375,603587
2000-04-25,16.452,16.52,16.154,16.52,503433
2000-04-26,16.52,16.597,16.307,16.307,420933
2000-04-27,16.154,16.452,16.154,16.307,653670
2000-04-28,16.375,16.52,16.154,16.452,289706
2000-05-04,16.229,16.452,16.154,16.154,263666
2000-05-05,16.086,16.229,16.086,16.154,206072
2000-05-08,16.154,16.154,15.94,16.086,187925
2000-05-09,16.086,16.307,16.007,16.154,443314
2000-05-10,16.154,16.375,16.154,16.375,349236
2000-05-11,16.154,16.673,16.154,16.597,612322
2000-05-12,16.452,16.452,16.229,16.307,373488
2000-05-15,16.154,16.154,16.007,16.154,288951
2000-05-16,16.307,16.673,16.154,16.52,540417
2000-05-17,16.375,16.452,16.154,16.452,440625
2000-05-18,16.375,16.375,16.007,16.086,699681
2000-05-19,16.086,16.086,15.863,15.863,773096
2000-05-22,15.787,15.94,15.574,15.574,320612
2000-05-23,15.574,15.574,15.053,15.274,719745
2000-05-24,14.761,15.053,14.761,14.908,838923
2000-05-25,15.053,15.199,14.761,15.199,742354
2000-05-26,14.831,15.053,14.831,14.908,866673
2000-05-29,14.831,15.199,14.831,15.053,466120
2000-05-30,15.199,15.421,15.129,15.274,293987
2000-05-31,15.574,15.574,15.199,15.274,622403
2000-06-01,15.421,15.642,15.35,15.497,429309
2000-06-02,15.574,15.717,15.274,15.574,396060
2000-06-05,15.717,16.452,15.574,16.452,787966
2000-06-06,16.154,16.154,15.574,15.574,451348
2000-06-07,15.787,16.307,15.717,16.154,712516
2000-06-08,16.307,16.307,15.94,15.94,700619
2000-06-09,16.007,16.086,15.863,15.94,536985
2000-06-12,15.94,15.94,15.642,15.787,259909
2000-06-13,15.787,16.007,15.717,15.94,464231
2000-06-14,16.52,16.673,16.086,16.375,1912393
2000-06-15,16.375,16.375,16.154,16.229,593987
2000-06-16,16.154,16.154,15.863,15.94,649794
2000-06-19,15.863,16.007,15.717,15.94,694978
2000-06-20,16.086,16.229,16.007,16.154,561211
2000-06-21,16.154,16.154,15.94,16.007,317893
2000-06-23,15.787,16.086,15.787,16.086,510460
2000-06-26,15.787,15.863,15.497,15.717,669040
2000-06-27,15.717,15.717,15.497,15.497,640303
2000-06-28,15.642,15.642,15.421,15.497,557164
2000-06-29,15.574,15.863,15.421,15.497,1734279
2000-06-30,15.421,15.642,15.129,15.199,1129001
2000-07-03,15.421,15.421,15.199,15.274,1373836
2000-07-04,15.35,15.35,15.199,15.274,1773121
2000-07-05,15.274,15.497,15.274,15.421,1586108
2000-07-06,15.199,15.274,15.129,15.199,1185049
2000-07-07,15.053,15.274,15.053,15.199,3315519
2000-07-10,15.274,15.274,15.053,15.129,1976308
2000-07-11,15.129,15.129,14.761,14.831,1993144
2000-07-12,14.831,15.053,14.831,14.984,1524469
2000-07-13,15.053,15.497,15.053,15.274,1974854
2000-07-14,15.274,15.421,15.199,15.274,1552005
2000-07-17,15.421,15.574,15.35,15.574,2380435
2000-07-18,15.787,16.154,15.787,16.007,2042967
2000-07-19,16.007,16.307,16.007,16.086,1073233
2000-07-20,16.007,16.007,15.717,15.863,1289314
2000-07-21,15.863,16.007,15.863,15.863,570483
2000-07-24,15.787,15.94,15.787,15.863,592038
2000-07-25,15.787,16.007,15.787,16.007,1187173
2000-07-26,16.086,16.086,15.863,15.94,929486
2000-07-27,15.787,15.787,15.497,15.574,1069520
2000-07-28,15.497,15.717,15.421,15.497,723672
2000-07-31,15.274,15.35,15.053,15.274,1279552
2000-08-01,15.199,15.199,14.831,14.908,770244
2000-08-02,15.053,15.274,15.053,15.199,873633
2000-08-03,15.274,15.35,15.053,15.199,770691
2000-08-04,15.199,15.35,15.129,15.199,338216
2000-08-07,15.199,15.199,14.984,15.053,329506
2000-08-08,15.053,15.129,14.984,15.053,648167
2000-08-09,15.053,15.274,15.053,15.129,491382
2000-08-10,15.129,15.129,14.984,15.129,541446
2000-08-11,15.053,15.053,14.908,14.908,424898
2000-08-14,14.908,14.984,14.831,14.908,284442
2000-08-16,15.053,15.129,14.984,15.053,650022
2000-08-17,14.908,14.908,14.686,14.761,612652
2000-08-18,14.761,14.761,14.098,14.503,872412
2000-08-21,14.252,14.465,14.252,14.396,885613
2000-08-22,14.396,14.465,14.396,14.435,497603
