Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-01-04,27.54,28.82,27.54,28.342,2714185
2010-01-05,28.83,29.43,28.662,29.383,3139061
2010-01-06,29.198,29.528,29.015,29.463,1547639
2010-01-07,29.077,29.501,29.062,29.422,1870936
2010-01-08,29.677,29.895,28.902,29.022,1254901
2010-01-11,29.501,29.622,29.342,29.422,1107473
2010-01-12,29.182,29.334,28.439,28.807,1638114
2010-01-13,28.742,28.807,28.446,28.653,1180861
2010-01-14,28.82,28.902,28.085,28.566,1604437
2010-01-15,28.421,28.814,28.085,28.102,918049
2010-01-18,28.181,28.621,28.148,28.621,487356
2010-01-19,28.421,28.653,28.102,28.653,1285095
2010-01-20,28.518,29.062,28.518,28.82,1327045
2010-01-21,28.662,28.783,28.173,28.765,1448371
2010-01-22,28.27,28.477,27.558,27.621,2578594
2010-01-25,27.54,27.79,27.301,27.701,1243947
2010-01-26,27.22,27.413,26.973,27.301,972242
2010-01-27,27.133,27.381,26.876,26.9,1701813
2010-01-28,27.157,27.252,26.436,26.62,1298774
2010-01-29,26.444,27.164,26.26,27.02,1039924
2010-02-01,26.973,27.293,26.701,26.764,523931
2010-02-02,27.349,27.662,27.02,27.381,1665994
2010-02-03,27.701,27.958,27.413,27.662,2008120
2010-02-04,27.549,27.604,26.035,26.26,1771322
2010-02-05,26.021,26.42,25.059,25.22,2088846
2010-02-08,25.62,25.78,24.738,25.1,1401046
2010-02-09,25.22,25.948,25.14,25.38,1378758
2010-02-10,25.516,26.219,25.516,25.94,1432329
2010-02-11,26.101,26.172,24.779,24.858,1522376
2010-02-12,25.22,25.491,24.858,25.042,1128019
2010-02-15,25.444,25.532,24.827,25.428,973979
2010-02-16,25.62,25.755,25.14,25.539,1356304
2010-02-17,26.101,26.251,25.701,25.899,1170154
2010-02-18,25.916,25.979,25.22,25.22,1384120
2010-02-19,25.14,25.788,24.9,25.539,594440
2010-02-22,25.94,26.139,25.459,26.139,992781
2010-02-23,26.211,26.219,25.363,25.363,1036866
2010-02-24,25.348,25.459,24.98,25.178,952012
2010-02-25,25.38,26.026,25.22,25.477,2573509
2010-02-26,25.859,26.211,25.411,26.211,1713950
2010-03-01,26.26,26.652,25.78,26.652,503614
2010-03-02,26.62,27.781,26.436,27.54,1205633
2010-03-03,27.614,27.861,27.26,27.621,759324
2010-03-04,27.54,27.981,27.355,27.701,1353202
2010-03-05,27.621,28.382,27.621,28.302,1253153
2010-03-08,28.542,28.75,28.382,28.662,1889475
2010-03-09,28.742,28.742,28.062,28.501,1724986
2010-03-10,28.462,28.983,28.396,28.662,1506156
2010-03-11,28.671,28.807,28.318,28.349,971473
2010-03-12,28.758,29.133,28.462,28.646,1647315
2010-03-15,28.807,28.973,28.349,28.477,934523
2010-03-16,28.462,29.455,28.462,29.383,2504868
2010-03-17,29.631,31.103,29.631,30.503,3746352
2010-03-18,30.422,30.863,30.302,30.351,3212656
2010-03-19,30.142,31.143,30.142,30.344,7157152
2010-03-22,30.422,30.742,29.582,30.623,872133
2010-03-23,30.742,30.985,30.608,30.736,1331346
2010-03-24,30.816,31.214,30.688,30.985,1341256
2010-03-25,31.183,31.945,30.991,31.704,2137622
2010-03-26,31.976,31.976,30.985,30.985,2012427
2010-03-29,31.224,31.423,30.823,30.903,1155454
2010-03-30,31.224,31.385,31.04,31.264,619095
2010-03-31,31.143,31.736,31.065,31.065,1548941
2010-04-01,31.304,31.608,31.024,31.143,2197363
2010-04-06,31.423,31.575,30.903,31.544,1847113
2010-04-07,31.544,31.6,30.511,30.936,2482615
2010-04-08,30.784,30.784,30.112,30.118,1174752
2010-04-09,30.351,30.664,30.326,30.376,2781438
2010-04-12,30.422,30.646,30.192,30.391,2259185
2010-04-13,30.391,30.503,30.102,30.344,3030967
2010-04-14,30.384,30.664,30.031,30.664,1982424
2010-04-15,30.831,30.903,30.463,30.799,1451237
2010-04-16,30.584,31.065,30.422,30.823,1726008
2010-04-19,30.183,30.494,29.663,29.743,1906711
2010-04-20,29.983,30.742,29.863,30.344,1013880
2010-04-21,30.823,30.823,30.351,30.584,1523195
2010-04-22,30.823,30.863,29.463,29.591,1547001
2010-04-23,29.863,30.031,29.342,29.663,834968
2010-04-26,30.407,30.975,29.822,30.447,1106669
2010-04-27,30.656,30.985,30.319,30.416,1241293
2010-04-28,30.407,30.407,29.542,29.542,1997064
2010-04-29,29.654,30.903,29.638,30.511,1461413
2010-04-30,31.024,31.625,30.84,31.312,1994408
2010-05-04,31.625,31.704,29.815,29.815,2265347
2010-05-05,29.702,30.015,29.542,29.799,1654304
2010-05-06,29.622,30.023,29.222,29.501,1839794
2010-05-07,28.671,29.501,28.494,28.494,3601568
2010-05-10,29.222,29.959,29.222,29.895,1138076
2010-05-11,29.463,30.142,29.463,30.142,1445538
2010-05-12,30.102,30.84,29.663,30.584,1838421
2010-05-13,31.143,31.256,30.463,31.056,1243802
2010-05-14,30.584,31.175,30.102,30.102,1547330
2010-05-17,29.863,31.143,29.863,31.065,1344620
2010-05-18,31.079,31.625,31.079,31.528,1666639
2010-05-19,31.224,31.239,30.142,30.664,3222756
2010-05-20,30.671,30.96,28.918,29.942,2276598
2010-05-21,30.183,30.344,28.573,29.142,2199627
2010-05-24,29.551,29.606,28.662,29.494,876145
2010-05-25,28.662,29.102,28.518,28.621,1436618
2010-05-26,29.062,29.926,28.742,29.383,2751739
2010-05-27,29.622,30.15,29.422,30.102,1678727
2010-05-28,30.023,30.703,29.878,30.703,1469899
2010-05-31,30.584,31.065,30.511,30.823,1329797
2010-06-01,30.575,30.584,29.83,29.863,908660
2010-06-02,29.991,30.712,29.567,30.712,1065216
2010-06-04,30.952,31.201,29.599,30.023,1125356
2010-06-07,29.622,30.159,29.542,29.983,1112753
2010-06-08,29.902,30.319,29.463,29.615,2297284
2010-06-09,29.863,30.335,29.615,29.702,1624521
2010-06-10,29.622,29.959,29.279,29.775,2448006
2010-06-11,29.975,30.039,29.501,29.942,1866325
2010-06-14,30.174,30.688,30.023,30.584,1324153
